distinct_fullvisitorid,distinct_visitid,occurrences
13063335458453582612,1552172154,1
13065140925427799594,1551913047,1
1306773922172754503,1552344637,1
13068849037641761582,1551821311,2
13068849037641761582,1551478208,2
13068896428497926542,1551996673,1
13068986085643333107,1551823716,1
13072302778178343041,1551739626,1
13079093651928996743,1551566114,1
13079966999808032006,1551653982,1
13080783293401873183,1552602152,1
13084002040453019411,1551478819,1
13084159473491129041,1552341222,1
13090819374019354125,1551566422,1
13092593984546906546,1552603446,1
13101273311416120922,1552603637,1
13103405756813182288,1551653919,1
131064476509645902,1551652887,1
13109000086688828907,1552344308,1
1311637356019742430,1552257739,1
13117741018927738025,1551653748,1
13121035363466684442,1551998880,1
13121339917896080534,1552167941,1
13122059026499637476,1551652117,1
13125636195925618658,1552256387,1
13127784664357444894,1552603257,1
13135008902963239445,1551567368,1
13138178997492014522,1551480514,1
13140240814129669781,1551999230,1
1314122627656508190,1552604385,1
13142532671692154509,1552516795,1
13152539019182174417,1552602672,1
13155235037952408028,1552603926,1
13170444537809118262,1552516810,1
13171452998695147610,1552429970,2
13171452998695147610,1552603798,2
1318000509307883314,1552170201,3
1318000509307883314,1552084714,3
1318000509307883314,1552516566,3
13182576788284654659,1552258742,1
13183207188782234487,1551739973,1
13186700912880803011,1552517704,1
13200500204451366398,1552603304,1
13200675621120159730,1552258089,1
13208175262679058770,1551825708,1
13209444552109245399,1552171112,2
13209444552109245399,1552258691,2
13215718676611479736,1551567168,1
1322485013499966778,1552343844,1
13225300368224270172,1551653995,1
13230448581944588878,1552516763,1
13230717285212769397,1552514437,1
13231493476677550284,1551566391,1
